lot_id,tray_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
LOT-101,TRAY-1067,217617,86901,49482,118,3573,404,447,404,1838,3902,3599,117,290,291,42967,5,344824,5,209556,6
LOT-101,TRAY-1069,218110,86613,47801,118,3555,404,456,405,1747,3884,3443,118,280,281,42865,13,343561,13,209578,14
LOT-101,TRAY-1070,218110,86614,47801,118,3555,405,459,405,1738,3885,3485,118,290,291,42922,5,342662,5,209581,5
LOT-101,TRAY-1074,217814,86599,47631,118,3564,406,456,405,1714,3886,3401,118,290,290,43021,5,344352,5,209552,5
LOT-101,TRAY-1075,218477,86634,47222,119,3566,405,449,405,1731,3890,3489,117,290,291,42985,5,343246,5,209490,6
LOT-101,TRAY-1076,218477,86633,47222,118,3584,405,452,405,1715,3914,3464,117,290,291,42985,5,343246,5,209490,6
LOT-101,TRAY-1077,218324,86630,46960,117,3593,404,454,405,1513,3917,3463,118,290,291,42873,5,344246,5,209605,5
LOT-101,TRAY-1079,216944,86710,46837,118,3584,404,454,405,1692,3909,3460,117,290,291,43034,5,343844,5,209386,5
LOT-101,TRAY-1083,217511,87289,45567,117,3565,404,454,405,1620,3891,3353,118,290,291,42991,5,344423,6,209643,5
LOT-101,TRAY-1088,217023,87561,45250,118,3587,405,459,405,1747,3922,3512,118,290,290,42921,5,343871,5,209388,5
LOT-101,TRAY-1089,216277,86889,47340,118,3581,405,455,405,1800,3905,3569,117,290,290,43088,5,343182,5,209605,5
LOT-101,TRAY-1090,216278,86889,47339,119,3579,405,453,404,1872,3900,3558,118,290,290,43088,5,343182,5,209605,5
LOT-101,TRAY-1091,217544,87519,44747,119,3587,405,460,405,1744,3914,3383,118,290,291,42907,8,343933,6,209603,8
LOT-101,TRAY-1096,217385,86449,45420,117,3590,404,456,405,1618,3911,3376,118,290,291,42981,5,342813,5,209426,5
